Code du département;Libellé du département;Code de la circonscription;Libellé de la circonscription;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs et nuls;% BlNuls/Ins;% BlNuls/Vot;Exprimes;% Exp/Ins;% Exp/Vot;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp;Code Nuance;Voix;% Voix/Ins;% Voix/Exp
11;AUDE;1;1ère circonscription;64352;18339;28.5;46013;71.5;2939;4.57;6.39;43074;66.93;93.61;COM;6631;10.3;15.39;SOC;11410;17.73;26.49;VEC;2895;4.5;6.72;DIV;1181;1.84;2.74;DIV;819;1.27;1.9;DIV;181;0.28;0.42;UDF;13558;21.07;31.48;DVD;1274;1.98;2.96;FRN;5125;7.96;11.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;AUDE;2;2ème circonscription;88051;24390;27.7;63661;72.3;3547;4.03;5.57;60114;68.27;94.43;COM;7972;9.05;13.26;SOC;15851;18;26.37;MAJ;1513;1.72;2.52;VEC;3867;4.39;6.43;DIV;1732;1.97;2.88;RPR;20130;22.86;33.49;DVD;1096;1.24;1.82;FRN;7953;9.03;13.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;AUDE;3;3ème circonscription;70506;17608;24.97;52898;75.03;3362;4.77;6.36;49536;70.26;93.64;COM;4775;6.77;9.64;SOC;15999;22.69;32.3;MAJ;591;0.84;1.19;GEC;3169;4.49;6.4;DIV;580;0.82;1.17;DIV;732;1.04;1.48;DIV;751;1.07;1.52;RPR;17993;25.52;36.32;FRN;4946;7.02;9.98;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;AVEYRON;1;1ère circonscription;68983;17894;25.94;51089;74.06;2697;3.91;5.28;48392;70.15;94.72;COM;2070;3;4.28;SOC;6708;9.72;13.86;VEC;3079;4.46;6.36;DIV;1422;2.06;2.94;DIV;146;0.21;0.3;UDF;17823;25.84;36.83;DVD;14556;21.1;30.08;FRN;2588;3.75;5.35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;AVEYRON;2;2ème circonscription;73639;20649;28.04;52990;71.96;4688;6.37;8.85;48302;65.59;91.15;COM;4670;6.34;9.67;RDG;12228;16.61;25.32;GEC;3921;5.32;8.12;DIV;1360;1.85;2.82;DIV;217;0.29;0.45;DVD;24515;33.29;50.75;DVD;862;1.17;1.78;DVD;529;0.72;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;AVEYRON;3;3ème circonscription;70268;16993;24.18;53275;75.82;3404;4.84;6.39;49871;70.97;93.61;COM;2722;3.87;5.46;MAJ;9917;14.11;19.89;VEC;3365;4.79;6.75;DIV;1149;1.64;2.3;DIV;201;0.29;0.4;RPR;29555;42.06;59.26;FRN;2962;4.22;5.94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;1;1ère circonscription;60164;24484;40.7;35680;59.3;1343;2.23;3.76;34337;57.07;96.24;EXG;264;0.44;0.77;COM;3444;5.72;10.03;SOC;5146;8.55;14.99;VEC;2380;3.96;6.93;DIV;393;0.65;1.14;DIV;1071;1.78;3.12;DIV;76;0.13;0.22;UDF;13921;23.14;40.54;FRN;7642;12.7;22.26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;2;2ème circonscription;61192;23939;39.12;37253;60.88;1160;1.9;3.11;36093;58.98;96.89;COM;2786;4.55;7.72;SOC;4630;7.57;12.83;GEC;2832;4.63;7.85;DIV;112;0.18;0.31;DIV;828;1.35;2.29;UDF;17647;28.84;48.89;FRN;7258;11.86;20.11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;3;3ème circonscription;48704;20785;42.68;27919;57.32;856;1.76;3.07;27063;55.57;96.93;EXG;347;0.71;1.28;COM;2326;4.78;8.59;SOC;4490;9.22;16.59;MAJ;825;1.69;3.05;MAJ;563;1.16;2.08;GEC;1592;3.27;5.88;DIV;675;1.39;2.49;DIV;191;0.39;0.71;UDF;9296;19.09;34.35;DVD;110;0.23;0.41;FRN;6648;13.65;24.56;;;;;;;;;;;;;;;;;;;;
13;BOUCHES DU RHONE;4;4ème circonscription;49043;21216;43.26;27827;56.74;950;1.94;3.41;26877;54.8;96.59;EXG;350;0.71;1.3;COM;7310;14.91;27.2;SOC;3089;6.3;11.49;MAJ;1942;3.96;7.23;VEC;1116;2.28;4.15;DIV;153;0.31;0.57;DIV;752;1.53;2.8;DVD;4331;8.83;16.11;FRN;7834;15.97;29.15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
